atmosphere,city,cleanliness,country,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,staff,value_for_money
8.9,Hanoi,9.1,Vietnam,4.4,9.0,Hostel,8.5,7 Fridays Hostel,US$7.09,9.1,Superb,358,9.6,9.2,9.1
8.1,Hanoi,9.6,Vietnam,0.9,9.2,Hotel,9.8,Hanoi Culture Hostel,US$11.38,9.4,Superb,225,9.8,9.6,9.6
8.5,Hanoi,8.5,Vietnam,0.8,8.6,Hostel,9.4,Babylon Garden Hostel,US$6.50,8.9,Fabulous,1348,9.4,9.0,8.8
8.8,Hanoi,9.4,Vietnam,0.6,9.3,Hostel,9.8,Luxury Backpackers,US$7.00,9.4,Superb,924,9.7,9.6,9.5
8.9,Hanoi,8.3,Vietnam,0.7,8.7,Hostel,9.6,Hanoi Vietnam Backpacker Hostels Downtown,US$8.15,8.8,Fabulous,4741,8.8,8.7,8.8
8.7,Hanoi,8.2,Vietnam,0.8,8.3,Hostel,9.6,Flipside Hostel,US$6.00,8.7,Fabulous,1187,9.0,8.9,8.5
8.9,Hanoi,9.5,Vietnam,0.5,9.2,Hostel,9.9,Nexy Hostel,US$7.93,9.5,Superb,1906,9.7,9.7,9.3
8.6,Hanoi,8.8,Vietnam,0.7,8.9,Hostel,9.8,Cocoon Inn Hanoi,US$8.00,9.1,Superb,1959,9.5,9.3,9.1
9.1,Hanoi,9.4,Vietnam,0.6,9.2,Hostel,9.8,Old Quarter View Hanoi Hostel,US$6.00,9.4,Superb,3206,9.6,9.4,9.4
9.0,Hanoi,9.8,Vietnam,0.7,9.5,Hostel,9.8,Little Charm Hanoi Hostel,US$10.00,9.6,Superb,1218,9.7,9.4,9.6
8.9,Hanoi,8.6,Vietnam,0.9,8.7,Hostel,9.6,Hanoi Central Backpackers Hostel,US$5.00,9.1,Superb,4404,9.3,9.1,9.2
9.1,Hanoi,9.1,Vietnam,1.3,9.1,Hostel,9.3,Republik Backpackers Hostel,US$5.73,9.3,Superb,1516,9.3,9.6,9.4
